0.21, 0, 0, 5, 0.2925041, 0, 929.7949, -342.564, -2.810867, 0.01343784, 0.1308036, 38.13348, 1.258549, 1.004543, 2.01187
0.5599998, 1, -0.3115275, 6.473595, 0.2825204, -0.0085761311963914456621890277, 7761.36, -347.8428, -2.810867, 0.01343784, 0.1308036, 110.285, 1.258374, 0.9982306, 2.056639
 
0.5699998, 1, -0.3015275, 6.589858, 0.2825752, -0.0512724602758247601300826382, 8049.081, -347.9956, -2.810867, 0.01343784, 0.1308036, 112.3154, 1.257505, 0.9980502, 2.057918
 
0.5799997, 1, -0.2915275, 6.706137, 0.2826168, -0.0911925437969126896070723070, 8341.897, -348.1484, -2.810867, 0.01343784, 0.1308036, 114.3451, 1.256696, 0.9978698, 2.059197
 
0.5899997, 1, -0.2815275, 6.822458, 0.2826714, -0.1284250143982799131603472252, 8639.788, -348.3014, -2.810867, 0.01343784, 0.1308036, 116.3741, 1.255945, 0.9976894, 2.060477
 
0.5999997, 1, -0.2715275, 6.938816, 0.2827389, -0.1630565068096138550014229608, 8942.739, -348.4543, -2.810867, 0.01343784, 0.1308036, 118.4022, 1.255249, 0.9975091, 2.061756
 
0.6099997, 1, -0.2615275, 7.055169, 0.2827802, -0.1951685656401817672792692128, 9250.733, -348.6075, -2.810867, 0.01343784, 0.1308036, 120.4294, 1.254606, 0.9973287, 2.063035
 
0.6199997, 1, -0.2515275, 7.171566, 0.2828475, -0.2248397136986556414947736944, 9563.755, -348.7608, -2.810867, 0.01343784, 0.1308036, 122.4557, 1.254013, 0.9971484, 2.064314
 
0.6299997, 1, -0.2415275, 7.287967, 0.2829016, -0.2521452026212184248550266296, 9881.79, -348.9142, -2.810867, 0.01343784, 0.1308036, 124.4811, 1.25347, 0.996968, 2.065593
 
0.6399997, 1, -0.2315275, 7.404381, 0.2829556, -0.2771567634996687697341124047, 10204.82, -349.0676, -2.810867, 0.01343784, 0.1308036, 126.5056, 1.252974, 0.9967877, 2.066872
 
0.6499997, 1, -0.2215275, 7.520808, 0.2830096, -0.2999451006003662045977288295, 10532.83, -349.2212, -2.810867, 0.01343784, 0.1308036, 128.5289, 1.252523, 0.9966073, 2.068151
 
